Population Size, Best Fitness, Execution Time (ms)
10 ; 3304 ; 9
20 ; 3166 ; 16
30 ; 3226 ; 23
40 ; 3039 ; 33
50 ; 3365 ; 39
60 ; 3182 ; 49
70 ; 3211 ; 84
80 ; 3272 ; 99
90 ; 3385 ; 85
100 ; 3343 ; 76
110 ; 3556 ; 82
120 ; 3545 ; 90
130 ; 3334 ; 96
140 ; 3420 ; 109
150 ; 3560 ; 114
160 ; 3372 ; 132
170 ; 3797 ; 128
180 ; 3508 ; 133
190 ; 3392 ; 146
200 ; 3431 ; 158
210 ; 3446 ; 161
220 ; 3620 ; 164
230 ; 3367 ; 170
240 ; 3582 ; 183
250 ; 3611 ; 188
260 ; 3401 ; 193
270 ; 3488 ; 209
280 ; 3541 ; 213
290 ; 3652 ; 221
300 ; 3615 ; 226
310 ; 3456 ; 237
320 ; 3452 ; 385
330 ; 3611 ; 329
340 ; 3499 ; 309
350 ; 3569 ; 271
360 ; 3552 ; 278
370 ; 3323 ; 285
380 ; 3543 ; 312
390 ; 3367 ; 300
400 ; 3390 ; 301
410 ; 3437 ; 312
420 ; 3528 ; 331
430 ; 3551 ; 488
440 ; 3409 ; 367
450 ; 3621 ; 346
460 ; 3555 ; 354
470 ; 3385 ; 446
480 ; 3394 ; 454
490 ; 3499 ; 385
500 ; 3453 ; 384
510 ; 3501 ; 399
520 ; 3814 ; 418
530 ; 3600 ; 412
540 ; 3539 ; 489
550 ; 3576 ; 618
560 ; 3568 ; 492
570 ; 3636 ; 502
580 ; 3484 ; 618
590 ; 3553 ; 526
600 ; 3628 ; 528
610 ; 3414 ; 539
620 ; 3586 ; 506
630 ; 3565 ; 534
640 ; 3568 ; 497
650 ; 3575 ; 504
660 ; 3525 ; 504
670 ; 3633 ; 594
680 ; 3502 ; 679
690 ; 3444 ; 573
700 ; 3552 ; 555
710 ; 3690 ; 548
720 ; 3521 ; 567
730 ; 3611 ; 560
740 ; 3348 ; 598
750 ; 3503 ; 649
760 ; 3627 ; 779
770 ; 3521 ; 685
780 ; 3534 ; 692
790 ; 3613 ; 698
800 ; 3520 ; 717
810 ; 3571 ; 615
820 ; 3613 ; 626
830 ; 3565 ; 893
840 ; 3388 ; 678
850 ; 3891 ; 656
860 ; 3645 ; 690
870 ; 3791 ; 740
880 ; 3614 ; 774
890 ; 3717 ; 809
900 ; 3516 ; 898
910 ; 3608 ; 814
920 ; 3599 ; 772
930 ; 3772 ; 878
940 ; 3553 ; 754
950 ; 3564 ; 740
960 ; 3752 ; 935
970 ; 3545 ; 848
980 ; 3781 ; 890
990 ; 3615 ; 885
1000 ; 3898 ; 886
